output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,18
E[Hydrogen fuel cell]@100nmi_450kt_fan,calibration_block,5.878363533695954,6.245155266510337,11.801840218829756,19
E[Hydrogen combustion]@100nmi_350kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,gamma_tank,-0.1657780955533703,0.1657780955533703,0.056247662299382994,20
E[Hydrogen combustion]@100nmi_350kt_fan,electricity,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,liquid_hydrogen,-0.4959629728583641,0.4959629728583641,0.1615170972666373,20
E[Hydrogen combustion]@100nmi_350kt_fan,e_saf,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,eta_motor,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,eta_p_propeller,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_b,1.5174278740486589,1.5174278740486589,0.3859371277740553,20
E[Hydrogen combustion]@100nmi_350kt_fan,oew_fan_r_pivot,0.7434794973543962,0.7434794973543962,0.3862041385727055,20
E[Hydrogen combustion]@100nmi_350kt_fan,oew_prop_b,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_350kt_fan,calibration_block,0.17677548432408507,0.17678595531645985,0.20337870068877834,20
E[Hydrogen combustion]@100nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,gamma_tank,-0.14909498008399696,0.14909498008399696,0.050619751245093665,20
E[Hydrogen combustion]@100nmi_450kt_fan,electricity,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,liquid_hydrogen,-0.4386958244296178,0.4386958244296178,0.14404774392241895,20
E[Hydrogen combustion]@100nmi_450kt_fan,e_saf,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_b,1.3589627008806278,1.3589627008806278,0.3456898071675678,20
E[Hydrogen combustion]@100nmi_450kt_fan,oew_fan_r_pivot,0.6653005842157035,0.6653005842157035,0.34629840775635196,20
E[Hydrogen combustion]@100nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20
