output,fattore,mu,mu_star,sigma,n_ee,scala,mu_star_n,sigma_n,distanza,soglia,selezionato
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20,0.4304490415239444,0.0,0.0,0.0,0.10180075576897432,False
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_b,-0.784463191649359,0.784463191649359,0.3464369994019107,20,0.784463191649359,1.0,0.4416230144253369,1.093174682688051,0.10931746826880512,True
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_r_pivot,0.457553236407999,0.457553236407999,0.24826183026207693,20,0.784463191649359,0.5832692231817515,0.3164735234295678,0.663595115822117,0.10931746826880512,True
E[Hydrogen combustion]@6000nmi_450kt_fan,gamma_tank,-0.4493907831648908,0.4493907831648908,0.19225581019073454,20,0.784463191649359,0.5728640781985351,0.24507945336034256,0.6230868242465585,0.10931746826880512,True
E[Hydrogen combustion]@6000nmi_450kt_fan,liquid_hydrogen,-0.239214136392165,0.239214136392165,0.08845829553966003,20,0.784463191649359,0.30493991169835466,0.11276283767205653,0.32512121940355554,0.10931746826880512,True
E[Hydrogen combustion]@6000nmi_450kt_fan,calibration_block,0.044819171800619936,0.07364900707016257,0.08941524922971936,20,0.784463191649359,0.09388459248841642,0.11398272115447626,0.14766982572108328,0.10931746826880512,True
E[Hydrogen combustion]@6000nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,electricity,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,e_saf,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20,0.784463191649359,0.0,0.0,0.0,0.10931746826880512,False
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_fuel_cell,-2.1025921167203343,2.1025921167203343,0.3930618481047795,20,2.1025921167203343,1.0,0.1869415589353038,1.0173235210380036,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,fuel_cell_specific_power_kW_per_kg,-1.756691691173743,1.756691691173743,0.9784863988204642,20,2.1025921167203343,0.8354885748900581,0.4653714769684988,0.9563533710651426,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_b,1.3115901265811967,1.3115901265811967,0.8778177187302884,20,2.1025921167203343,0.623796748856379,0.4174931085062405,0.7506150008719463,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_motor,-1.2463114896609249,1.2463114896609249,0.45396604802419926,20,2.1025921167203343,0.5927500059331273,0.2159078046636571,0.6308476437686062,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_fan_r_pivot,0.7499742181956617,0.7499742181956617,0.5715551886108649,20,2.1025921167203343,0.3566903025231002,0.27183360199332823,0.44846569443680745,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,calibration_block,-0.4231117184133524,0.5720990110362759,0.5554053711234135,20,2.1025921167203343,0.2720922457983185,0.2641526935760351,0.37922399152354175,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_p_propeller,-0.6275478774732776,0.6275478774732776,0.29871291289858437,20,2.1025921167203343,0.2984639162692855,0.1420688827486535,0.33055147369244886,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,liquid_hydrogen,-0.5470211459422362,0.5470211459422362,0.23443833297873737,20,2.1025921167203343,0.26016512741210635,0.11149967276792563,0.28305135673356524,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_prop_r_pivot,0.4865063674542894,0.4865063674542894,0.3278546119253056,20,2.1025921167203343,0.23138409184809075,0.15592877444851255,0.2790203947050839,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,gamma_tank,-0.2683001835614489,0.2683001835614489,0.12214002740694149,20,2.1025921167203343,0.12760448468719124,0.058090214662013466,0.14020477007492443,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,oew_prop_b,0.24006736514121796,0.24212870874254114,0.13860503687211786,20,2.1025921167203343,0.11515724177650699,0.06592102946163272,0.13269051382391409,0.10173235210380037,True
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20,2.1025921167203343,0.0,0.0,0.0,0.10173235210380037,False
E[Hydrogen fuel cell]@100nmi_200kt_propeller,electricity,0.0,0.0,0.0,20,2.1025921167203343,0.0,0.0,0.0,0.10173235210380037,False
E[Hydrogen fuel cell]@100nmi_200kt_propeller,e_saf,0.0,0.0,0.0,20,2.1025921167203343,0.0,0.0,0.0,0.10173235210380037,False
E[Hydrogen fuel cell]@100nmi_200kt_propeller,eta_p_fan,0.0,0.0,0.0,20,2.1025921167203343,0.0,0.0,0.0,0.10173235210380037,False
